用户名,时间,评论内容
匿名用户,2022-08-04T11:34:49.874Z,不久前我们全家来这里漂流，由于景区弯道设置不合理，以及景区没有合理的控制水流而导致我的老婆从皮艇中甩出，撞到水泥护栏，并顺水流从河道中流下，并至溺水。岸边未见安全管理人员，也无工作人员下水协助救人，老婆是在其他游客的协助下被救到岸边，之后将近一个多小时的时间里，景区未派出任何工作人员与救援人员进行应急处理、医疗救援措施以及拨打120。直至我的母亲拦住其营运车辆，才有工作人员出面，其景区缺乏最起码的安全措施及人道主义精神。老婆被诊断为左髌骨粉碎性骨折，左髌骨脱位，左髌骨半月板损伤及身上多处碰撞外伤。我们要求景区先行垫付医药费，景区一再推脱，第一手术次给过5万元之后，在第二次手术前我方联系时，整整一天不接电话，在我们联系当地县政府后才收到其回电，但景区的意思是用老婆做手术的救命钱作为交换条件让我们签一堆条件苛刻的协议，并且在协议之中写到他们给钱之后让我们不得向媒体曝光且不得向有关部门进行投诉。致使我们手术结束之后都未能拿到其垫付的手术费用，现在还差医院的钱。大家注意票上没有保险，景区处理事故的态度也是非常的消极。我劝大家不要去这样没有安全措施的地方去漂流，这是我老婆血的教训。
北齐胆小的乐乐子,2022-08-04T09:37:23.285Z,我想说的是评论里的差评是真实存在的吗？去之前看了那些差评一直提心吊胆的怕入坑，但是到了以后发现跟差评里面说的完全不一样啊，工作人员非常热情 也没有所谓的二次收费，更不需要自己去抢皮艇，全程没有吐槽点，漂流过程也非常的惊险刺激，值得一去！！！
高小二2222,2022-07-31T03:13:41.416Z,不值，还得自己滑，不刺激，时间太快
匿名用户,2022-07-27T08:09:57.458Z,景区里漂流挺好的就是下大雨玩了一半外面服务人员凶的很
gDc541801244,2022-07-26T05:20:16.352Z,全程槽点，吃相难看，来过一次，谁要来第二次，就是脑子有坑。进去后看到有小箱子寄存东西的，不理解为啥这样，车离得近，就把换洗的东西放车上了。进去之后，那水简直让我惊呆了！我怀疑我是不是来到了黄河，并且船上还特别多蚂蚁，以及各种各样的昆虫，船里的这些东西，让我拿着瓢，清理了半个小时，真的恶心透了。然后说漂流，那个水浅的，蹲屁股你们懂吗？漂下来，脚后跟，屁股都要散架了，并且经常被卡主在中间，可见水有多小！并且这还是连着下了好多天雨。果不其然，出来后，见到有救护车在终点停着，听说是一个女的因为水太浅，在船里坐着嗑住脚了，然后，到终点时候，见到漂流洗浴点，我们都懵逼了，衣服都在车上，这是终点，怎么换洗？这时候才知道开始的寄存，是寄存衣服，人家给你快递下来，一个人是十块还是二十，真是奇葩的设计，就不能在停车场附近？哪怕你票价加10块，大家也方便，真奇葩啊，然后回去，排队坐车，还要一个人20，真特么吃像难看！直接加到票价里面不行？关键是20的车费，还人挤人等了半个小时才坐上，真的是无力吐槽，那感觉，谁去谁知道。总结，坑爹的景区，难看的吃相，奇葩的设计，极差的体验，浑浊的水质，让你体验黄河漂流的快感
小漫,2022-07-24T09:42:11.637Z,不愉快，188已经很贵了 ，竟然还不去包括停车和返回车票，这不是坑人么
qmq764624328,2022-07-19T15:01:46.816Z,【环境】【交通】【项目】【餐饮】还可以
SwP931563450,2022-07-15T14:05:39.687Z,挺好的，有机会还会去的。强力推荐哦
李啬森,2022-07-12T09:15:22.406Z,一般般 没有尧山好玩，很失望，太短了
匿名用户,2022-07-11T14:20:22.568Z,服务太差，我们卡到一个地方，还是个下坡，皮艇里的水都满了，我们两个女生还带一个小孩，工作人员就在旁边一直看着都没有帮我们，最后还是一个皮艇冲下来撞到我们我们才离开那个地方
MYe816840305,2022-07-11T13:21:58.637Z,还好，就是今天去了眼镜最后一个下坡给冲掉了，希望景区可以改善，之前我去别的地方漂流，人家工作人员会给戴眼镜的朋友准备一根红绳系上
voZ587939489,2022-07-10T05:36:30.788Z,太骗人啦！漂流里程太短，重复收费，捆绑消费，无法洗澡，大家不要上当了
吴彦沮.,2022-07-09T11:56:20.311Z,「豫西大峡谷漂流」还不赖 就是人多下饺子呢
小美,2022-07-09T07:00:52.762Z,水超级脏 漂流188 全程需要用桨划船 累的要死 水特别浅 全程还一直卡船 完全不刺激 三分之二都在划船 回去的大巴还要掏20 等于漂流208 还特别短 体验感极差
小水果儿284,2022-07-06T07:02:17.568Z,还行，有好几个峡谷都挺好玩的，就是第一次没经验买了门票结果没有用，就没有必要进景区
mt5590652,2022-07-04T04:07:10.290Z,挺刺激的，不错，孩子和大人都玩的很开心
避坑小助手,2022-07-03T16:58:33.150Z,漂流玩着还可以 服务确实像评论里的一样不太好 不过也只是少数 大多数工作人员还是不错的 还有就是水闻起来有点腥 手机记得用防水袋  不喜欢穿湿衣服的记得衣服托运。最后记得做船的前边位置🌝
蜉蝣380,2022-07-03T10:09:50.125Z,人很多出现了船叠船的危险情况 导致我 我老公我妈妈三个人全部翻船扣进水里 也没工作人员救治 妈妈手上的黄金手串也滑进水里了 差评差评差评 很不愉快的一次漂流
VpA847273226,2022-07-03T08:41:57.494Z,船翻了眼镜拖鞋丢了，没有后续。。。
晴天了吗,2022-07-03T07:45:38.538Z,垃圾垃圾，游客太没素质了，难道是从小到大没玩过水吗，让水缺死了吧，过去就泼水，全泼耳朵里了，都说别泼了，还一个劲的没完了，有病
qNZ238983909,2022-07-03T00:24:28.433Z,这次漂流很值得去，太好玩太刺激了
骄傲的孤单1988,2022-07-01T04:10:07.556Z,很好玩！玩的漂流里最好的一个！
匿名用户,2022-06-30T08:52:04.925Z,进去很方便，但是必须在网上购票三小时之后，漂程只有40分钟左右（中间不怎么停留），水质还可以。可以带两套衣服，进园前可以换一下衣服，回来可以做观光车，五分钟就到进口了。中间体验还可以，艇可以单人也可以四人。去的话带好玩水工具跟手机防水袋也可以提前准备好。
匿名用户,2022-06-30T04:16:01.592Z,从陕西到三门峡只为了漂流 赞赞赞
生活在继续dwq,2022-06-30T00:03:42.161Z,设施啥的还是那个样子，但票价越来越贵
匿名用户,2022-06-25T04:49:10.982Z,差评 距离短 不到一个小时就飘完了 一点都不好玩 设施很多东西都不完善
匿名用户,2022-06-17T05:12:05.028Z,「豫西大峡谷漂流」漂流不错，就是去的不是时候，有点冷
匿名用户,2022-06-14T09:07:46.146Z,景区没有直通的车  门口黑车司机 坐地起价  不会再去第二次
DUJZ呀,2022-06-08T04:11:07.259Z,挺好的 就是水有点不好，臭，玩完以后浑身臭味，我们是去年去玩的
DPL391473429,2022-05-13T03:40:24.494Z,很好，就是价格贵了点。回来皮肤都变好了
yav979880909,2022-05-10T14:02:05.204Z,豫西大峡谷非常好玩儿，主要水道很长，玩的很刺激，暑假准备全家一起再去，还要带上好友去体验
丸小子911,2022-04-23T09:26:23.714Z,从今以后我只能称呼你为您了，因为，你在我心上。
lAS417913237,2022-03-24T08:06:55.314Z,一般般，环境脏乱差，秩序混乱，排队时间久
安心等饭中,2022-02-26T15:23:01.697Z,「豫西大峡谷漂流」好的我真的是太喜欢了很喜欢这个哦真的是太棒了这个真的是太给力了哟真的是太给力了哟真的是太给力了哟我们都喜欢这个【项目】【项目】【项目】【项目】【项目】好好好好好好好好好好好好好好好好好好【项目】【项目】【项目】【项目】
木头东1,2022-01-11T08:50:23.216Z,价格实惠，预订方便。建议购买。购票简单
jrW119287648,2021-12-25T13:34:22.539Z,服务极差，管理混乱，幸亏没有出现人员伤亡。没有秩序，正常一个船一个船的出，她们把人员全部放进去，我们进去之后看见好多人在抢船，有吵架的有打起来的。场面极度恶劣混乱，还看见有个小男孩都吓哭了，这孩子心里阴影该有多少，哭着喊再也不来了。我们看这情况也直接退票了。当天还有人报警了。老板都不敢出面。真的没那么多船就别卖那么多票，为了那点钱至于吗。不顾游客的安全，太么怕了，大家出游需谨慎，安全第一位，玩都是次要的。这生意做的也是让人无语了。好心情全被破坏了。
票謀,2021-12-21T10:01:19.022Z,景区工作人人员服务真的一言难尽
ORs781558365,2021-12-19T02:57:01.346Z,景区管理有待改进，管理不好，排队秩序不好，人多抢设备，太恐怖
谢栋粱,2021-12-13T07:48:05.717Z,还不错吧。没事可以去玩一玩，可以一试，
匿名用户,2021-11-29T11:48:38.333Z,【项目】【交通】【环境】「豫西大峡谷漂流」好玩，好玩，好玩！
年轻有为就是我了,2021-11-07T14:22:19.218Z,船不够，人多，都是抢的玩到晚上了，冷死了。
匿名用户,2021-10-29T12:16:54.055Z,虽然景点其他没啥看的，但是抵不住漂流确实好玩啊，这几年夏天都会去玩一次，就是票价有些贵
oBm474345262,2021-10-28T22:48:35.090Z,还可以  玩的挺开心   就是去晚了时间有点赶……
iHh844163164,2021-09-19T09:23:41.779Z,水有点黄，有点脏！感觉没有尧山漂流好玩！
蜡笔小新呐呐呐呐,2021-09-18T01:13:58.838Z,挺刺激的，进景区停车费10元，把换洗的邮寄到漂完的地方每个包裹10元，漂完回去的车每人20元，景区工作人员服务态度好
feel19782006,2021-09-10T02:29:55.948Z,今日营业么，想去漂流！景区电话没人
匿名用户,2021-09-09T23:29:37.095Z,一定要找个合适的天气去   拿好装备
呼呼呼你也呼呼呼,2021-08-27T12:05:12.443Z,好玩好玩，就是其他项目还得单独收费
小幸运xxx777,2021-08-27T05:01:15.242Z,还不错，就是太贵了，整体值得去
灵丽宝丽,2021-08-21T05:59:53.067Z,这种淡旺季特别明显的景区，挣钱就三个月，所以去的时候人特别多，所以…服务好坏可以忍，漂流项目还是不错的
xmxm0802,2021-08-18T12:44:21.225Z,环境一般  决绝了  无语了  太给力了 呜呜呜呜呜呜呜呜呜呜
xiaoge555,2021-08-18T06:37:20.004Z,环境很好，特别刺激。感觉还没玩就结束了。。。。
匿名用户,2021-08-08T10:56:39.539Z,对于不会划船的我来说，一开始就遇到这样的湖，划不动又回不去，最后真是累惨了，下船后腿软，因为划的时间太久，坐船的也难受，下船后直接吐了。第二天我浑身疼了一天。
mzi464214325,2021-08-01T10:20:06.176Z,由于疫情原因今天排队的人不是太多，水量充沛刺激好玩，非常好的感受！
zhE517126345,2021-07-30T03:48:22.444Z,设施还可以，但买票有一张是免票，不过没退票，唉
cy幸福快乐,2021-07-25T08:41:37.378Z,可以不错，有惊无险，孩子感觉不错，就是坐船有点颠，颠的头晕
仙女味的乔乔酱a,2021-07-21T17:40:40.854Z,【交通】不便【环境】一般「豫西大峡谷漂流」
匿名用户,2021-07-17T06:44:00.758Z,体验特别不好，景区服务特别差，所有项目几乎都要收费，东西特别贵，不想被坑的，最好不要来了
kVz707064984,2021-07-16T06:49:03.915Z,提前预订还优惠了10元，整体感觉还可以。和朋友一起去的，非常凉快，下坡的时候和进山洞的时候特别刺激，中途也有卖水和食品的，非常方便。还有好多工作人员，看到卡住的我们都会帮忙哈哈哈。最后也有免费洗浴的地方，很舒服。
夏雨杰,2021-07-15T17:07:28.277Z,挺好玩的，可以和自己人打着玩，还可以泼别人环境也好
OZW696330113,2021-07-15T03:11:54.552Z,时间短还贵没啥玩的再也不去了太一般了
廾匸.4937,2021-07-15T03:08:33.076Z,就是可能屁股痛，然后其他嗯挺好
rDD132461799,2021-07-15T00:50:33.577Z,漂流挺刺激，玩得挺嗨，就是水有点脏
C5213777,2021-07-14T06:48:58.628Z,太垃圾了，漂流还得自己划船，没一点安全系数。做回程车在掏20元。
爱蛋蛋i,2021-07-14T01:19:54.365Z,人工滑行太多了 而且水也有点污除了漂流票一五八以外其它各项都收费例如返程大巴车每人收二十莲花拍照台 手掌拍照都得要重新买票感觉各种吸钱💰
sa珍真假假,2021-07-13T04:29:55.289Z,去的时候没问清开漂时间，以为是10点半，其实是11点半开漂，周六日和周一到周五开漂时间好像不一样！可以提前一晚到景区，早上起来去景区转转等着中午开漂，我们是想早点漂完早点回去，不着急的话也可以1点多再去漂，在住宿的地方吃完饭再上去，那会应该不用排队，我们是排队等了快一个小时进去的，特别热！景区附近有好多住宿的，不贵条件也一般，毕竟一分价钱一分货！小孩们玩的特别开心，漂完有免费洗澡换衣服的地方还挺好的，就是得掂着湿衣服，越走越沉你们懂得😄漂完就有上山的车，一个人20，直接坐到停车的地方！还有感觉盆和呲水枪都要带上会更好玩😄
ekb408965757,2021-07-13T00:16:10.086Z,人多了好玩，刚好漂下来就开始下暴雨，三门峡大太阳，卢氏竟然下大雨，反正衣服湿透了，淋着大雨下去还是很酸爽的体验
别再跳车了,2021-07-12T07:46:56.528Z,挺好玩的 就是划船划的累 漂流河道挺长的 飘了2个小时
SnJ281811469,2021-07-12T03:50:58.978Z,价格小贵，其他还可以，漂流很刺激，但是没有危险
我shi娜姐,2021-07-12T01:22:45.776Z,个人觉得环境还可以，漂流下去走路上来也不累。
abP352710201,2021-07-11T05:08:48.566Z,还不错，漂流很刺激。一定记得带换洗的衣服。
哲科诺维斯基,2021-07-10T11:29:19.881Z,比较刺激，比较规范，比较开心，比较推荐。
elX348647870,2021-07-10T09:33:55.579Z,排队等了一个小时，唉。真不美
gfi867123927,2021-07-10T09:06:35.407Z,就是人太多，各种排排排队，找个好天气可以来玩
MmN811434532,2021-07-10T07:27:03.199Z,漂流真的推荐打卡，两个多小时的漂流。带着小朋友去的还可以建议个男士去，中间有点小害怕。
AJa919570343,2021-07-10T07:07:43.813Z,排队俩小时，装备全靠抢，无秩序，没管理，垃圾的要命，玩的心情都没有
匿名用户,2021-07-10T05:02:08.929Z,美团显示换票时间到三点半  到地方人家三点就停止售票了  开俩小时车过去再开俩小时回来  咱不说让你拖延一会下班能不能按点来
LL刘先生Y,2021-07-09T18:24:36.745Z,先说槽点第一:没没有储物柜，只有更衣室，这一点非常不方便，去更衣室换完衣服还要花10块钱人工托运把衣服放回车上，这点我觉得非常不人性化第二:漂流完洗浴的地方是在你漂流的终点，这个终点距离你漂流停车的或者始发的地方，步行回去大约40分钟，然后就是你穿一身湿露露的衣服洗个澡意义何在。漂流的终点距离始发地有公交车，一个人20元，坐车大概15分钟的样子给你送回始发地，也就是漂流的起点的位置。第三:可能是夏天天气热人多的原因工作人员的服务态度中规中距，可以接受。后说优点第一☝️漂流整体很刺激，有三个山洞是最刺激的地方，乌漆麻黑的啥都看不到，给人特别惊险的感觉第二:山谷中很凉快，不会特别晒，也不会完全暴露在太阳的下面，基本都有遮挡物这点很喜欢第三:不停留的话时长大概是一个半小时到两个小时，就是漂流中途很容易堵，因为要一个一个下去，重要的关卡都会堵第四:温馨提示要带小朋友的家长一定一定做好心理工作，我女儿6岁，吓哭了三次🤣🤣总结：可以去尝试一下，票价158 元停车费10元 小交通费20 这是费用，也是最基本的支出，个人觉得中规中矩，性价比相对来说不会很高，毕竟同等价位，或者价位比这个低地方都去过。
随风呀w,2021-07-08T11:02:43.150Z,第一次去漂流，本来想去尧山漂流，可是暂停营业，就来到了豫西大峡谷，怀着激动的心，拉着女朋友颤抖的小手，我们自驾游俩小时来到了这里，一个心旷神怡的漂流圣地，，最让人难忘的是过山洞，险流加上漆黑真是刺激，让人感觉一点小怕，从开始到结束漂流了一个半小时，累并快乐着，就是我和她滑行船的时候有点吃力，但是我们还是一起合作跑到了终点。
XqZ337565716,2021-07-08T03:57:36.023Z,玩的很开心快乐，夏天玩水真的好🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻🏻
匿名用户,2021-07-08T03:09:48.488Z,单景区票是48。漂流➕景区是158 。为啥漂流票不能分开卖票。只能说 漂流跟景区 不能一块耍。你去漂流 压根没有时间去逛景区。我去飘过两次了。景区里长啥样子我都不知道。漂流中间不停留的话 一个小时漂完，一个船坐仨人 ，船空间还算可以 时间长有点窝累慌。
BBt866764060,2021-07-07T02:57:55.736Z,我的问题是小孩收费不合理特别不合理你给我说说一米二以下是收全票吗唉太差劲了
匿名用户,2021-07-07T02:17:27.654Z,漂流不怎么好玩，总是堵着，风景还可以，漂流水特别腥，不干净
匿名用户,2021-07-05T06:23:09.288Z,一点都不美……还那么贵！除了只有漂流，没有别的游玩设施……
小詩苑,2021-07-05T03:31:08.010Z,服务态度差。我买了两张成人票。大人扫了一张进去了。小孩子不能进。结果我们就走了。显示我们只能退一张。那一张没有玩都不能退票。难道就差这一百多块钱嘛。能不能景区查查记录，查查监控。看看我们进去了没有。
半个灵魂553,2021-07-04T22:20:58.054Z,太垃圾了，根本没有服务，排队全靠挤和插，船靠抢，一点半排队到5点才开始漂，全程被冻得要死！体验超级差，环境污染严重，托运胡乱涨价。总之，太垃圾了！
fan15035928038,2021-07-04T16:51:47.534Z,漂流里面我觉得黑洞里应该弄些灯，要不太危险了
匿名用户,2021-07-04T15:52:30.747Z,工作人员跟没有一样 该插队的插队 管理很不到位 建议学习一下别的漂流 总而言之 景区工作人员不负责任 不过在最后掏钱坐车回来的时候倒是挺负责 一个人返程二十块 火眼金睛 但凡这点眼力见用到前面也不至于排队那么久
PYQ565709831,2021-07-04T11:44:34.311Z,景色很美，管理很差，工作人员挺好
牛马安抚器8848,2021-07-04T10:44:58.662Z,垃圾景区  无秩序 无管理  无安保拿游客生命开玩笑第一次见景区游玩是靠 抢 的第一次见退票人数那么 多 的游客漂流未带头盔骂人打架斗殴谁抢到设备算谁的垃圾景区
ppC961487662,2021-07-04T09:49:42.521Z,美团一张票，装备全靠抢，乱成一锅粥。没一点秩序。辣鸡！还不如我去的尧山玩的漂流
杜经天,2021-07-04T08:14:39.265Z,管理特别差，从停车场开始就特别乱，毫无管理可言，再者到排队验票根本没人管，插队人层出不穷，再到进场，所有东西全靠抢，抢到就能玩，抢不到就不能玩，那么高的运皮筏艇的几个大汉上去就抢，特别危险，本人在旁边站着都被划腿上，特别不建议来，一定不要来
GvU438314193,2021-07-04T08:10:16.344Z,没人维持秩序，超级乱，排队4个小时队，骂架打架
Xl52111,2021-07-03T09:59:23.585Z,地方都挺好的，玩的也挺美的，就是翻船掉水里了也没人来救滴，还要自己爬起来
不羡鸳鸯只羡仙～,2021-07-03T09:53:34.614Z,如果不漂流的话，可以由多个入口不要门票即可进入，管理上存在很大漏洞。
eKV368631490,2021-07-01T15:50:38.906Z,就觉得漂流托运衣服收费，还有返程的车收费，不合理。
秋意浓,2021-07-01T10:22:46.668Z,还可以，就是没有规划打水仗的区域，有些可惜
长新饭店,2021-07-01T07:05:09.959Z,尧山比这强  谁来谁知道 一般一般世界第三
ljh850933562,2021-06-30T13:33:09.526Z,水真的脏，长了一身的小痘痘，垃圾，
从头吃到尾LNN,2021-06-30T12:19:00.225Z,几年前去过尧山 漂流刺激 也不需要自己划船太久豫西大峡谷我们一点多钟下水到二点多左右才开始让漂 几乎在水里已经晃晕了…小的漂流位置非常蹲屁股，也非常少，自己划的部分较多，景区特色也就那三个黑洞比较刺激 划船快滑到吐
心中有片海long,2021-06-30T09:04:41.098Z,6月30号客观评价，第一价格贵。门票160，停车费10，运个衣服20，返程20，重点是，，，，这不是漂流，这是划船。全程自己划船，哪是漂流？？。
Qcj229458012,2021-06-30T06:57:40.335Z,水脏，回程的车都不开空调热死了
石洁雨,2021-06-29T14:09:42.734Z,漂流安全刺激凉快！环境优美！赞
荣载,2021-06-28T06:05:18.500Z,漂流距离近7KM，水流大，穿洞过瀑布，紧张刺激，玩一趟还想玩第二遍，岸边风景秀丽，漂流完缓步观赏景点，顺带看看别人在漂流时的糗事也很惬意。
匿名用户,2021-06-28T03:28:33.895Z,从进豫西门口哪里都是收费的。停车费是正常价位 可以接受。大巴收费 拿换洗衣服收费 托运收费 （托运箱子小之又小 想放两人衣服根本不可能关键托运还不能托运车钥匙， 在尧山的除了正常停车费门票费 不需要额外费用 。漂流的也一般
iWC110029039,2021-06-28T02:15:33.693Z,还不错，自驾很方便，进园很快，
战胜困难的法宝,2021-06-27T05:59:35.074Z,人不多，水有点小，船有点托底 容易被卡住。
tww224246737,2021-06-24T02:10:34.828Z,不错不错体验感很强、唯一不足就是票价贵觉得玩的太少
每天都能开心的,2021-06-23T13:42:54.453Z,真的tm，很刺激，停好车后，把换洗的衣服寄存一下到终点可以换干净衣服！别的别整就拿不锈钢盆够了，有三段都非常牛逼！差点给爷吓尿！
xxZ896973688,2021-06-22T01:12:01.395Z,水略微有些脏，人很多漂流全程一小时多
dds877157352,2021-06-21T11:47:32.878Z,说实话去大峡谷的路上整个人都很开心放松，结果刚到停车场收费站，收费的大叔服务态度让我觉得简直有问题，首先停车我不是不掏钱，你用的着脸拉着跟我欠你几万块钱一样嘛！说话牛逼哄哄的，我都不知道怎么形容他让我觉得他整个人的职业态度都不正常，什么素质，真垃圾！
ZH小飞机,2021-06-20T12:11:13.563Z,总体还行吧，值得一去，其他也没啥说里了！
匿名用户,2021-06-17T07:17:03.628Z,简单说，卫生脏乱差， 水特别脏。溅到眼睛里眼睛都酸酸的睁不开眼。漂流穿的那个救生衣全是湿漉漉的，领口胸前都是一片片黑黑的脏，一件压一件湿漉漉的放着，也没及时晾晒，都长毛了，很臭。头盔也很脏，漂流完回程交通费20，想着也不远就决定慢悠悠的走回售票大厅，开始走了一节就要爬台阶，一眼望不到头的那种台阶，连续不间断的，听说999个，不知道是不是，反正爬的很累很累才走到大路上，上来距离景区大门还有4.1公里，索性又掏了10块钱坐的观光车。不是很推荐！反正我是不会去第二次了。
lkpopfly,2021-06-14T06:46:54.897Z,漂流设计规划安全刺激，美团优惠价用的放心！
匿名用户,2021-06-14T06:30:51.500Z,仅以此差评献给下图这个撑杆哥我们在郑州开了4个小时跑过去玩，被他一句“别逼逼，这么多人，我想拉谁拉谁，不高兴你来！”整的兴趣全无！更甚期间3次推开我们费半天劲划过去的船，就因为我们让他考虑一下先来后到的顺序，玩过漂流的都知道，排闸口时的无奈，好不容易快排到了，下面人多限流了，需要继续等待，然后就会被后面的荡到旁边，力气小的等到下次开放的时候就又被荡到最后了、别的闸口的工作人员等待的时候都会说不要拉船，维护好顺序，考虑先来后到的顺序，有序推进！只有这个等待的时候全程玩手机，开放的时候我们这边提醒了一句考虑考虑顺序的时候，被一顿狂怼，一副大家都欠了他的模样……怒怼游客强烈反应出了他对于这个工作的不耐烦，玩手机说明了他的不负责，能引起大家的不满说明了他的不上心！第一次美团差评！！
匿名用户,2021-06-13T07:51:15.969Z,可以说是人非常多！不过挺有意思的打打水账
XtG583650674,2021-06-13T01:56:30.996Z,"我是河南省郑州市的游客，我来到豫西大峡谷，这里的服务特别好，特别是门口的两位工作人员，他们和蔼可亲，礼貌待人，门口那位大爷服务态度更让我满意，我们一行五人询问了很多问题，他们都耐心为我们解答，他们还为我们介绍了豫西的漂流，悬崖秋千,跨瀑玻璃桥,喊泉等项目，我们玩的非常开心，他们还为我们介绍了百草园的七彩滑道,网红桥，丛林穿越等娱乐项目，我们玩的非常快乐，我会介绍我的朋友们来豫西大峡谷游玩。"
嘿，宝贝儿r,2021-06-12T08:26:23.319Z,用盆的水仗打的过瘾，干净的衣服得存了到漂流终点换。
rKu916061772,2021-06-12T02:01:35.899Z,太坑人说了漂流两个小时，在水上玩了半个小时，其实真正漂流也就一个小时，漂完过去荡秋千35块说五分钟，系安全带就要四分钟也算就荡了一分钟，真是给尧山差十万八千里，以后再也不回去了
OGU964698613,2021-06-10T11:00:59.256Z,就是里面收费的项目有点多，像运衣服，停车场停车收费，漂下来上去坐车还得收费，收什么费用应该人去之前票上详细说明，漂流幸亏拿手机了，没拿手机坐车还得收费都上不去了
匿名用户,2021-06-07T07:35:19.500Z,设施太欠缺，返回车太少，大太阳下等了一个多小时，食宿太一般，不回再去第二次的“景点”耽误事
匿名用户,2021-06-07T03:46:33.692Z,漂流一个多小时吧，总体来说还可以吧，黑洞还比较刺激，水不是很干净，看个人情况而定
抱紧月亮Y,2021-06-06T10:10:56.505Z,【环境】【交通】【项目】【餐饮】【餐饮】【项目】
0321di,2021-06-06T05:16:17.573Z,收费小车居然要10块，游艇挺脏而且景区项目又贵又不好玩现在
匿名用户,2021-06-02T11:44:47.924Z,服务非常差，出去的时候忘记开发票，结果说离开就不能开发票了，这得省多少税，而且我的心爱的帽子丢了，工作人员说没看到，反正没有一件服务是满意的！！
vdm745897687,2021-06-01T12:50:44.294Z,豫西大峡谷位于三门峡市卢氏县官道口镇，夏日避暑玩水的好地方。我是自驾开车从洛阳去的，大概需要三个小时，停车费10元。说一下漂流体验。漂流开始是中午12点，起点在刘秀湖上，湖面很大。建议可以约上三两好友，在湖面上打打水仗，之后就是顺着漂流，有些地方水位较低小皮艇容易搁浅。绝大部分都是可以直接漂流而下，特色就是过乌黑的隧道，很刺激。推荐情侣一起玩。漂流到终点之后，可以选择步行回到漂流起点或者做景区小巴回去（每人20元），建议步行回去（大概四公里多）这样可以欣赏一下沿途的风景。漂流时长大概一刻不停的往下漂也就40分钟，建议可以边漂边玩。记着要在门口买水枪（防止别人泼你的时间没有还手的工具），手机防水袋和拖鞋，建议游玩时长半天。建议五六个伙伴一起游玩。
淡水河边的鱼,2021-06-01T04:26:31.723Z,「豫西大峡谷漂流」「大淙潭瀑布」「挡箭石崖」「濯足池」「三叠峡谷」99元7月六日前无限次玩豫西大峡谷真不错，就是不错，还真不错，但是要刷身份证，要刷脸，刷刷刷，五月中下旬玩水还是有点冷，水也脏，买的99套票是含门票的，但是，车子的进门费还是要十元钱。不知道合理不合理。
匿名用户,2021-05-30T12:24:04.310Z,售票处就两个人  到点后排队检票99元卡的还要单独排队  检票后就自己进去拿救生衣.头盔和桨 无任何安全介绍    说是全程1个半小时到2个小时   就是看你自己划船耗时多久  实际上漂流没多久   安全员只有在急流的地方入口能看到   急流后看不到任何一个人  真是翻船了都没人管只能随缘了    漂流结束了想回上游的话是一个人花20元坐大巴上去的    最后！！需要处理伤口的话，急救用品在售票处的柜子里 ，自己去拿    反正是不会再去了！！！！！！！！！
Lanjingling.,2021-05-29T13:17:00.532Z,一般般吧 小孩休息配套设施不完善
在路上3195,2021-05-28T10:24:35.346Z,全程没有爬山，谷底一路行走，还可以。
HqU492587252,2021-05-28T08:10:05.723Z,在网上买的99的套餐 到了景区忘带身份证了 有取票凭证码有电子版的身份证 景区就是不行 非要见到身份证原件 无奈又在景区重新买了一张不需要身份证的票 多花了168 而且美团上订的又不能退 真的太坑了 现在都什么时代了 一点儿都不能变通 本来好好的心情全被破坏了
Msn698341261,2021-05-25T04:25:41.353Z,没有带身份证自己买的票   还不退票     真垃圾
匿名用户,2021-05-23T01:53:17.847Z,不错，一家人出去玩，走到最后有孩子玩的网红桥等，很不错
匿名用户,2021-05-20T14:18:13.670Z,最差的一次体验，态度极差，设备陈旧，异味大，
amZ466711989,2021-05-20T11:17:58.989Z,好玩，很喜欢，还会再去的～不错，不错。
是鱼白羊,2021-05-12T09:03:48.917Z,怎说呢， 漂流地下太多石头了 两个人老搁浅，不是很好玩，很影响体验
小ym可爱,2021-05-12T08:52:20.951Z,最最最差的体验  水质脏臭 味道很大  什么地方都需要收费 过程很短 还没玩就到下面  洗漱的地方就只有水 其他都需要收费 连个吹风机也没有
还有亿腔热血,2021-05-12T07:00:39.427Z,美团买的158套票，结果竟然没有99的划算，美团上面没有写清楚99的是门票加漂流，158的是成人票加漂流，然而99最可笑的是还是月卡不限次数，158的是一次的，找景区工作人员协调，态度极其恶略，推卸责任，让找美团，说话很难听，还有一个就是停车费，这边停车是不收费的，完全是一个村子，门口大爷拦着要十元停车费，这样一天下来能坑个不少，下次再遇见这种直接拍视频举报就好了，出去玩没有一个景区是不坑人的，本来好好的心情，就是因为这些赚黑心钱的人给影响了，说实话这边漂流也就那样，其他的也没什么玩的，再一个的是漂流到下面，坐车上去三四公里，一个人竟然收费二十元，真的是无敌坑，这种地方也就来一次，绝不会有第二次。不知道那些所谓的网红为了人气、赚钱真的是什么事儿都能做出来，真心推荐一个地方玩就应该把景区的攻略做出来，什么钱该花什么钱不该花，真心吐槽这个地方，花这么多钱来玩，一点不值，还生一肚子气，真的垃圾
雅韵1429,2021-05-04T09:39:13.219Z,豫西大峡谷漂流挺好的，值得游玩
海蓝色的天空98,2021-05-03T07:46:39.247Z,还可以。不错，天气好漂流很刺激，好玩
