用户名,时间,评论内容
匿名用户,2018/6/19,挺好的，漂流很刺激，感觉……不虚此行
匿名用户,2018/6/14,很刺激，真的很好玩，到黑洞里面真是美透了
匿名用户,2018/5/12,还可以，漂流看着不错，适合漂流，不适合爬山，有点短， 风景还好，四大人带两孩子 ，一个三岁 全程孩子都基本自己走的， ，，，，，强烈建议，要去就去漂流。
啾啾1234yy,2018/6/12,漂流很棒，百草园什么都没有不推荐去了
xin070922,2018/5/26,比较偏，景点跟普通，没有特点，基本一块石头一个水坑就是一个景点，漂流没看见有人玩，水还比较脏，不推荐去
丸子童,2018/6/10,自驾去的 天气很给力 玩的很开心 以后夏天的必玩项目
JtE137715265,2018/6/12,很好玩很刺激，玩着很过瘾，下次一定继续开玩。哈啊
匿名用户,2018/6/16,挺有意思的😊
JtE137715265,2018/6/12,玩的很开心很刺激，下次一定还会再来嘻嘻
楠1324,2018/6/14,不错，很好玩！
卫liu622,2018/7/25,漂流非常刺激、老公说值得！12点半左右才能漂流哦
热情有限mmmm,2018/6/13,和老婆一起去的，玩的挺开心。
DQm338761524,2018/6/11,玩着不错，值得一玩，得劲完啦。
诺诺诺1115,2018/6/1,除非自己开车去，不然到景区门口都是个问题，没有什么可看的
TDA106699073,2018/6/10,非常不错，很刺激
陶美拉,2018/6/4,很刺激的，很值得一去。比外地的都刺激
Txg189068627,2018/5/26,水有点脏。臭，价格有点贵。各种收费。
匿名用户,2018/5/22,大骗子太坑人了 游览车就送了一段路回来还要坐游览车太坑人了
马娜娜。,2018/5/23,很好玩。和家人一起去的 。人多点更好玩
A695406863,2018/5/16,设施完备，交通便利，环境优美，的确是休闲旅游的最佳之处。
匿名用户,2018/5/20,设施一般，服务一般，天然氧吧，徒步健身
kYq744378377,2018/5/3,山青水秀，天然氧吧，激情漂流，欢乐无限
dZy684402178,2018/4/30,这个景区太坑了，自己开车去车坏半路了，给景区da了100多个电话都没人接，让商家给调换个票都不调，还4A景区，***垃圾，连1A都不算
mcz512193819,2018/5/20,每年都去，很刺激去了还想去
马娜娜。,2018/5/23,很好玩
Mke636483472,2018/5/3,环境很好，漂流因为太迟，赶时间没漂，但看起来不错，周围的农舍卫生也不错，价格便宜。
cKv126719406,2018/5/5,豫西大峡谷的漂流还是很给力的，友情提示多带衣服和鞋子
uDv472688365,2018/4/30,景区有些破败，台阶多且陡，一般般
匿名用户,2018/4/30,还行 【环境】 【交通】 【项目】 【餐饮】
帅气＆国王,2018/3/19,很好
匿名用户,2018/3/5,一般吧，还凑合，去的时候下雨，回来全身湿透，而且那水臭臭的
失心疯的二百五,2017/12/15,超级好玩，刺激，希望下次再去玩
yRv248485459,2018/1/29,一般吧，景色不错就是有待开发，不值得单独跑一趟
shengliok,2018/2/4,很好呀
shengliok,2018/2/4,赞，下次还会去
blP800917759,2018/2/1,啥都要钱不建议去也就漂流可以玩
knA780353825,2018/1/27,可以上次孩子太小没能票，等来年再去
iwK555510191,2018/1/10,还不错，第一次去，总体还是很开心的！
柔情似水,2018/1/11,洋气 可洋气了😊😊😊
匿名用户,2018/8/5,环境很好，漂流不错，开车去的，停车场很大，整体感觉不错
Mzm104239280,2018/1/2,好好
独断成殇,2017/12/27,交通太不方便了，里面路标还有点混乱，
匿名用户,2017/12/30,很刺激
Rwk429101760,2017/12/27,很满意很爽的明年还会去
匿名用户,2017/10/8,景色挺漂亮的，适合夏季漂流，可以停车，还不错，带着老年人和小孩可以多走走。
Z小狐狸、,2017/9/19,我们玩的时候天气挺好的，玩完刚到山下。。就下了大雨。。景色也是美不胜收呐。。漂了一个多小时，就有几处是比较刺激，其他就平平静静，人多划得时候有点拥堵。。不过还可以吧。
棉草糖,2017/7/19,"我是从灵宝出发的，包了个出租车送到景区门口100元，如果自己坐班车的话到卢氏下车，坐包车50元可以到达景区门口，但是车不好找。到那10点多，11点30才开始放水 <span class=""feedbackmore"">，然后可以去窗口换漂流票。每个人60元押金，必须现金，然后给一个手环可以用来消费，柜子使用是10原，淋浴10元。快12点开始漂流，刚开始在一个大的湖面，很兴奋，不会划，划一会就会了，漂流大概有一个多小时吧，到下游以后，可以选择坐景区的车10元到售票处，也可以自己步行走回去，建议步行，不远，还可以欣赏沿路的风景，总之还不错，有一点需要注意的是美团上的票需要提前4个小时团。还不错，感觉漂流要价稍微高了点 <i class=""text-icon icon-toggle-arrow"">"
CCp262957550,2017/11/30,很不错的景区，景色很美，漂流河道不错，值得来玩。
Kwz355652863,2017/11/28,漂流好玩，就是人太多了，还会再去
女女0325,2017/9/24,玩得特别开心，环境真的很赞，漂流很刺激，漂的时间也很长，下次还要来玩。
nDZ602019019,2017/9/17,不是很满意，自我感觉漂流价钱贵了点，然后救生衣很脏，很湿，穿到身上跟不舒服，但是风景不错，回来的时候没有坐车，很热，建议回来坐车。
叽哩咕噜小静,2017/8/20,"怎么说呢，去漂流还得买景区门票，美团210停车明明是5块说白天10块，洗澡收费10元，漂流完了15分钟的车收费30，收费高，漂流只有1个多小时，很惊险刺激吧，去 <span class=""feedbackmore"">过最好的漂流还是尧山大峡谷吧，只有停车收费其他都免费。。 <i class=""text-icon icon-toggle-arrow"">"
寡人不萌,2017/8/27,我们是学生穷游，没有车，过去的交通身不方便没有直达景区门口的车。除此之外玩的还是很开森的，但是漂流去的救生衣真的有好多好多都很脏，希望景区能改善一下。
UFg908913998,2017/7/25,挺好玩的。三个山洞比较刺激。沿途也有有很多瀑布群，唯一不足的是有些地方水浅，搁浅了几次。玩完之后爬了999台阶，真心累！其实有另一个小道风景比较好，也近一些。出了景区在峡谷人家吃了个饭，味道还不错
妙手居,2017/11/11,自驾游，一家三口去的。正是假期，人很多，很尽兴！
yuanjianfeng888,2017/7/23,"漂流很刺激好玩，就是景点少，一个半小时漂流完后，没其他玩的。门票和景区中巴票价偏贵，漂流完没10分钟路程票价30元，孩子5岁不让漂流也没其他玩的，在河边玩玩水， <span class=""feedbackmore"">总觉得意犹未尽，很早就打道回府了，再加点别的刺激项目和表演就更好了。 <i class=""text-icon icon-toggle-arrow"">"
万科朴邻,2017/10/4,还可以，感觉价格有点小贵，还有票价里竟然不含坐车的，这个不尽如人意，我们去年在浙江漂流价格比它便宜还包含坐车的
匿名用户,2017/9/12,夏天避暑胜地！很不错，人多可以去玩。
美豆豆爱上了花花,2017/8/25,"和男朋友，闺密一起去的，先顺路游玩了一下景区，又坐旅游大巴回到起点，当时11点多，旅游大巴售票处没有人，好几个人服务电话才有大巴下来，回去急忙吃了凉皮10块，又 <span class=""feedbackmore"">咸又辣，没吃几口，因为漂流要存东西，完了还要冲淡，折合费用我们订了钟点房，50还可以，漂流很刺激，去了不漂流就不好玩了 <i class=""text-icon icon-toggle-arrow"">"
尔康尔康尔康,2017/10/2,路好走，必须4小时之前买……到那里还等了一会 儿，如果两次了，很好玩，很刺激，下次还去，地方好找
vHw794434451,2017/10/6,八年前来过这里，现在还不剩以前，景区这几年没开发吗？什么都没有，很多东西都不开放，没意思！
匿名用户,2017/10/13,漂流很刺激，第二次去了，设施还不错
yxl50800,2017/10/8,漂流应该很刺激，景区自然景色还是很多的
iTb997735554,2017/8/18,怎么说呢！环境还是不错的，玩的不太累，主要是漂流，其他壮观景象少！
MiN973741531,2017/8/10,救生衣有些脏，漂流很好玩很爽，尤其是三个山洞。不错。
万科朴邻,2017/10/4,票价有点贵，还不含坐车的钱，别的都还可以
过往iiiiii,2017/8/14,"去的前一天，给豫西大峡谷客服打电话咨询，客服说话语气满满的不耐烦，问什么就是嗯，也没推荐买哪个合适，我们早上到那九点多，问工作人员几点可以漂流，人家就说十点半， <span class=""feedbackmore"">结果到十点半又问人家，人家说十二点半，从坐上船漂流到结束全程五十多分钟，水还很脏，总之这次旅游很不开心 <i class=""text-icon icon-toggle-arrow"">"
荆先生,2017/8/13,不错 漂流挺刺激 值得去玩
狐聆灵,2017/8/17,"说实话景区里面不咋着，唯一的就是漂流确实好玩，比较刺激。不过漂到终点后每个人还的掏30块钱坐车上去，也可以选择走路到起点，这个有点坑，太贵，还有就是漂流后没有免 <span class=""feedbackmore"">费冲澡的地方。只能说还行，跟这个门票价位不成正比。 <i class=""text-icon icon-toggle-arrow"">"
jYX520052331,2017/8/16,"漂流的水太浅了！不是搁浅就是碰水底的石头，把自己的脚弄得生疼！只能说是太一般了！另外，漂流完了冲凉还要另付十元钱，200元的门票冲冲身上能用多少你家水？真不敢恭 <span class=""feedbackmore"">维！30元返程小交通车里那叫一个臭味熏天！不会再去，也不推荐！ <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2017/9/28,很刺激，很好玩，可以打水仗，哈哈
匿名用户,2017/9/28,好几个朋友一块来的，玩的很开心
IHX226614268,2017/7/28,"玩起来的话还行！就是有点坑 我在美团上定了票了 我们三个大人三个学生定的双人票 谁知道去了学生半价 又重新买的票 说是美团可以退的 都没说明白 结果只退了一张票 <span class=""feedbackmore"">算下来还不去用成人票！美团上订一定要看好门票➕漂流168都可以团到。到现场的话漂流就168门票60美团上可能划算些 另外就是漂流回来坐的车都应该是免费的 这里是30一个人 是不是有点坑。重度沟的话 漂流有专车接的很方便！ <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2017/8/5,"景点只有一个漂流可以玩，还要单独收门票和漂流的费用，景点多次消费:门票210元，停车也要收费，漂流完洗澡也要收费，存放衣服也要收费，漂流回程的公交车也要再次收费 <span class=""feedbackmore"">，总共漂流40来分钟，感觉这个景点真坑人啊!服务态度也不好，水也脏，不建议购买，感觉被坑的厉害，河南这里其他景点比这个好的多 <i class=""text-icon icon-toggle-arrow"">"
eHs320836135,2017/8/14,"刺激是挺刺激的，水不太干净，有隐藏消费，以为有车接送，没想到还有掏钱，坐车不到十分钟30块钱，这个也不提前说明，游玩尽量别带小孩，漂的时候水很急，小孩手臂没有劲 <span class=""feedbackmore"">，和朋友一起玩，她屁股摔的疼，屁股青了几天 <i class=""text-icon icon-toggle-arrow"">"
UAU120056285,2017/7/8,"大概评价一下吧，买的周末票，210一位，自驾游。（包含景区加漂流）首先大家都是我冲着漂流去的，漂流2-3人一个船，4个不行，更没有6人船，景区门口换景区票，工作 <span class=""feedbackmore"">人员会给你一张收据然后加五元是停车费，进了之后到漂流大厅换漂流票（收据换）别忘记拿，换票的时候每人另加60元包含（返程30，走路半小时就回来了不建议消费，10元洗澡，10元柜子钱）漂流就三个暗流，其余都是卡卡卡，一路卡过来的，总结，不刺激，太短，基本上都是在一起泼水，人少不建议去，如果可以没星，我不会给一星。（漂流换票退票超慢） <i class=""text-icon icon-toggle-arrow"">"
sg229229,2017/8/4,好玩，还是这里的漂流刺激。尤其黑洞子
个人美团,2017/9/13,漂流的地方 环境都挺好就是漂流时间不够长
qmC258114703,2017/7/21,"最糟糕的一次漂流体验，刚开始的时候因为系统问题，在美团购买的门票和漂流票不能兑换，后来经过沟通，还是解决了这个问题，接下来漂流的时候玩得还算开心，但是接下来就到 <span class=""feedbackmore"">了最糟心的阶段，接送游客回漂流起点的车额外收费了30元，然后洗澡又收费了10元，这本来就是漂流的配套服务，你们竟然在这些上面还要收费，这是想钱想疯了吗，我不会再来第二次了！ <i class=""text-icon icon-toggle-arrow"">"
jxI250805231,2017/6/21,风景不错，漂流的过程很刺激，全程大概一个小时左右，玩的挺好的也不累，就是价格相对其他地方漂流有点小贵，洗澡，坐车，存包都要另外收费，这点有点不太合理，其他还行。
HUM771712202,2017/8/23,景点还不错，瀑布连着瀑布，漂流时感觉很棒！不过救生衣都是湿的，刚刚穿在身上有点不适应，漂流前准备一件雨衣比较合适！
南一6818,2017/8/12,水太脏了！真的脏的受不了！漂流回来一身伤，10点多到那才知道12点半才开始漂！漂流完回来不到十分钟的车程一张车票30，感觉太坑了！
kTp510734029,2017/9/10,很刺激的一次漂流，挺好de
HDU758317849,2017/9/7,设施有点陈旧了，救生衣湿漉漉的还不干净。环境很好。
匿名用户,2017/8/26,帮朋友买的，景区设施不错，说去的时候赶上下雨，漂完时没带钱买景区内小交通的票，还发生点小故事
uvz852717380,2017/9/10,还不错，玩的挺美，有机会还会去的
GDXZLH7,2017/9/11,挺好玩的
且念切惜,2017/7/16,去的内天到景区刚好下大雨，不过淋着雨漂流挺爽的，天也不热，和媳妇玩美了，漂流挺刺激的，就是感觉管理好乱，收费混乱，不过玩的挺开心的
linlinaini16,2017/9/11,不错
linlinaini16,2017/9/11,好评
妞妞3605,2017/8/13,风景挺不错，漂流好玩刺激就是有些贵，玩完坐大巴返回还得30太坑，景区里面什么东西都贵桶装方便面都10，终止除了干啥收费贵其他玩的还不错
MOD227698923,2017/7/13,还不错，就是交押金的时候排队等太久，其他都还挺不错的
jdbdb1016,2017/7/30,去过好几次，漂流非要买景区门票让人百思不得其解，去还是值得一去的
CfN151372462,2017/9/2,下雨参与，非常刺激，很有意思，风景也很好
sy阿民,2017/8/4,谈不上风景，游览车收费每次10元只坐四分钟至六分钟不等，景区内导向标识不全也让人看不明白，只看到一个瀑布，水流很小，门票特贵，还不如去免费的人民公园
匿名用户,2017/8/11,服务态度差，救生衣太脏了发霉了，而且还是湿的！总体太乱！
匿名用户,2017/8/23,设施还可以 特别好玩儿 夏日里的好去处 特别刺激 安全也有保障
韩钢蛋,2017/8/6,人不少，漂流全程一个小时左右，回程的中巴车票价30有点贵
烦暴躁,2017/8/18,就是。这种天气刚好。水稍微会有点儿冷。漂了最后一波。玩儿的很开心。就是划船太累。
guoqiang672601,2017/8/25,连着去了三年，真的很爽、刺激。明年还去，打水仗要人多热闹！
匿名用户,2017/8/22,给老爸老妈团的，总体评价很好，只是价格偏贵了
BjV673681512,2017/9/2,漂流应该再长点
玲纳贝尔,2017/7/18,服务态度挺好 设施也挺好 环境可以
遗落的范蠡,2017/7/30,其实玩起来还是挺刺激的，就是感觉性价比不高，全程漂流估计在40分钟左右，门票漂流210，手机套5元，水枪15，柜子10块，洗澡10块，漂流结束回售票处估计10-15分钟车程30元！
Baobao306,2017/8/17,漂的过程挺不错、就是到终点后返回起点太坑了……车难等车费贵，走路好累……
乐乐开开,2017/8/15,景区服务人员态度跟狗一样，我们是去消费散心的，搞得跟欠你家几千块钱一样
ODv772271730,2017/8/19,挺好玩的，孩子说下次还去漂流的，就是回来说鹅卵石垫的屁股疼😭，其他都挺好。
Hai西红柿,2017/7/21,很不错，漂流停刺的
Yqc706709959,2017/6/22,真心感觉不错，尤其是漂流，一个字爽！
匿名用户,2017/8/19,性价比不高，名气挺大，实际情况一般吧。
匿名用户,2017/7/26,景区太差了，什么都要收钱，想去漂流还需要单买门票，漂流本身贵的要死，再加上根本没有意义的门票，太坑人。漂完洗澡要钱，存衣服要柜子钱，什么都要钱，也不想着提高服务质量，再也不去了。
guoqiang672601,2017/8/25,连着去了三年，真的很爽、很刺激
丫头双儿,2017/8/3,服务还好吧，环境挺不错的，关键是漂流时间够长，不算划船时间，单单漂流，都漂了一个小时。水流有缓慢的也有激流，总之挺棒的
Jing54640,2017/8/20,真心不错，我们5个人去的，就是车不多，自驾不错。
juX373544753,2017/8/10,还可以吧！第一次去的时候感觉特别好玩，这一次去感觉不惊险刺激了。门票稍微有点贵。
匿名用户,2017/8/26,就那样吧，出去玩，哪里都一样
王杰1234567890a,2017/7/24,挺好玩的 就是再去得多找几个人一起去
囧小鱼Q,2017/8/21,玩的人好多呀~人气很旺！！🏄🏄🏄
各种掉链子。,2017/8/13,很好玩，还会再去的，地方也挺好找的，服务态度也不错，值得一去哦
山楂茶冻,2017/8/19,基础设施不到位 人比较多 漂流还是可以的
eCv382939334,2017/7/24,超级刺激，好玩。值得来。
艺love,2017/8/14,挺不错，去的那天天气不热，玩的挺美，还有两个黑洞，挺刺激，推荐……
乐乐开开,2017/8/15,景区里到处都是坑，大家千万别去
LPM728230900,2017/8/17,漂流很刺激，如果漂流结束，回来走路的话要注意走错路
匿名用户,2017/8/5,还不错，进去的早。人还不算多。水不算很大，刺激度低点。漂流完走回来半小时就回来了
玲纳贝尔,2017/7/18,设施挺安全的 服务态度也挺好
过往iiiiii,2017/8/14,总之就那样，既然玩了就不说啥了，反正没有预期的好
匿名用户,2017/6/26,周五去的人不是很多，玩的不够尽兴！漂流路线挺有特色，临时和其他的游客打的水仗，大家玩的都挺开心！
tolining,2017/8/14,啥也不说了，还会再来，给个超级大赞！👍👍👍
hFI234798762,2017/8/17,惊险刺激！好玩儿。
tolining,2017/8/14,太棒了，孩子玩的超级尽兴！6👍👍
yAD487168003,2017/8/15,服务态度很差，景区旅游还可以...
bFl6,2017/7/25,这个地方不是很好，原因有三个，首先这里主要是漂流，但是水不干净。其次，票价贵，门票加漂流每人210元。最后，整个景区没有景。
uGE915433365,2017/8/13,环境优美，风景如画，住宿方便，民风朴实！
nio223130715,2017/7/5,"这个漂流一点都不刺激，和朋友一起去的，一路漂下来只有两三个刺激点，洗澡更衣室都要收费，漂流完还要收30元一个人的车费才能回来，不然就走回来，私家车还不能开进去， <span class=""feedbackmore"">处处都收费，景区门票还收了60，里面也没有值得旅游的旅游景点，坑爹 差评 <i class=""text-icon icon-toggle-arrow"">"
QGv673480437,2017/8/11,还可以吧，没有去玩漂流，感觉就不好玩
匿名用户,2017/8/9,漂流挺好玩，景区没意思。适合一大群人去。
Weo925495707,2017/8/6,水很脏窗口卖票的服务态度很一般
不能熬夜一,2017/7/9,哎，不好，真是坑爹呀，贵死了不说还不好玩，还不安全！
匿名用户,2017/8/6,真心垃圾，售票窗口服务不好！不会再来了
yrF397131932,2017/8/6,很好玩，刺激！值得来，美中不足服务人员态度差。
狗蛋的老汉,2017/8/8,略贵，其实玩的挺美的，下了高速十公里就到了。
好吃不贵2233,2017/8/5,玩的相当开心值回票价，大家可以放心购票去玩
Yqc706709959,2017/6/22,性价比高，真心不错，很刺激，爽啊！
judge23,2017/7/26,进出都不方便，自驾游跑去还要停车费，漂流还要先买进景区的门票，除了贵就是差，闹心
元宝桐桐桐,2017/6/26,景色不错，尤其是漂流特别好玩，和朋友一起去的特别开心😄
匿名用户,2017/7/20,每个女工作人员服务态度不好，总感觉跟欠了他们钱似的，都是拉着脸，门口那几个小男孩服务不错！
VIg538804183,2017/5/30,景区不错，已经来了好几次了，每年五月到十月是最好的旅游时间！
YOYA1019,2017/8/4,漂流挺刺激的、玩的很不错还凉快😊
匿名用户,2017/8/2,水太小 搁浅一路 建议老人孩子玩儿
XUm695273886,2017/8/6,什么都可以，就是停车收费。
LSN431339018,2017/7/30,好玩，开心，就是吃饭太贵，漂流超级刺激
匿名用户,2017/7/30,超级好玩儿不妄此行，特别特别开心。
明月.283,2017/7/21,出洞的滑梯太颠了，屁股差点开花，可能是漂流多了，觉得还好，第一次漂这个可能觉的刺激
搜嘎s,2017/6/28,特别好，非常刺激，有机会再来
vPK675162414,2017/8/3,我去过最美的漂流
大行吉号,2017/7/29,我感觉比其他的漂流好玩，有刺激
wazgass,2017/7/21,玩着挺好玩的，景区景色一般。必须门票和漂流一起，俩个月点贵。
bycy～,2017/7/10,还好吧，就是感觉太不划算了，漂的时间不长，还有一定的额外费用，总之感觉比别的地方都要贵好多。
bfF125693591,2017/7/25,都没有使用，有重新买了三张门票为什么不能退款。
小艾🐳,2017/7/23,玩的不错，美中不足洗不成澡，非得有会员卡才行
LWX834136626,2017/7/25,漂流不错 就是价位有点偏高 大巴收费也不合理
Zuy271785974,2017/7/24,不错，挺好玩，有三个洞，很剌激，洞里啥也看不到。
zhang一直等待,2017/7/22,漂流不错不错，就是时间有点短，已经第三次去了
WNG272326778,2017/7/24,破地方，一点都不好玩，服务太差了！！最烂的漂流！！
匿名用户,2017/7/25,很美，带着老公和孩子一起去的，很开心
Durex丶Yes,2017/7/20,据说是省内最好玩的一条线，感觉还不错，还会再来。
喵小姐.Aguai,2017/7/24,价位比较高一点 其他挺好的
ktR947834605,2017/7/24,还行吧，挺刺激的，很好玩的地方
匿名用户,2017/7/19,非常不错，强力推荐。下次还去，玩时一定要带水枪或水盆
ULq705391045,2017/7/14,真心不咋滴！指示指引做的不够，服务人员太少！办理漂流办理了一个小时才办好。
dSP814323208,2017/5/18,还可以吧，人不多，消费也还可以😄
大保镖x,2017/7/9,地方那是相当不错，就是带着孩子太小，没有漂流成，遗憾啊。下次继续去
vwH611055411,2017/7/18,果然没有失望，漂流特别过瘾，过两天再去一次
fjE763124242,2017/7/22,玩的给刺激，挺好的😁
匿名用户,2017/7/12,环境一般吧，漂流还可以，去过很多景区，这家景区也凑合
匿名用户,2017/7/19,漂流晒黑了，不过还是很值得❤
NHL376565770,2017/7/19,炎炎夏日，漂流超级爽
匿名用户,2017/7/12,喜欢漂流的可以去，水道挺长电器，朋友很喜欢
wFo395769188,2017/7/10,漂流水比较干净，毕比三门峡的好玩多了，停车也方便
承阳8,2017/7/7,漂流很开心，不是周末去的人也不是太多，漂流河道有缓有急挺刺激的，值得拥有一去！
一个W,2017/7/6,漂流售票处交押金都比较繁琐，速度太慢，尤其是退押金
z9426784,2017/7/3,漂流还行，但是景区景色并不觉得有什么特点，而且假货横行
匿名用户,2017/7/11,好玩，刺激，还会再来玩的。
z9426784,2017/7/3,漂流很刺激，吃喝东西贵可以理解，但是饮料很多是假的。
EKq197175479,2017/6/29,太刺激了，超好玩，就是里面柜子还有沐浴要另收费有点不合理
一个W,2017/7/6,过程还行吧，漂流售票退票比较慢，有待改进
BiuBiu~,2017/7/1,这不错，惊险刺激 不过漂完了有点儿晚，洗澡的都关门了
fan6380450,2017/4/30,风景不错，一路走三淅高速。沿途漂亮，景区地理方便快捷，一个不错的一个周末
qzv203367684,2017/6/28,设备很好，水质也很不错，工作人员服务热情，下次还会再来的。
upU18295993335,2017/6/28,非常好玩的一个地方，就是美团订购需提前4小时订购！
匿名用户,2017/6/30,比到景区买票划算，还是比较刺激的。
DaL342405615,2017/6/24,挺好的，挺刺激的，玩的很开心！
PXL801559341,2017/6/17,价格太高了，实际漂流时间是一个小时，没有网上说的那么长时间
匿名用户,2017/4/30,环境真不错，空气质量很好，早晚温差好大。
匿名用户,2017/6/12,我们都会有些不是我 便是你，我的人都有一个人的时候我就不想再去
匿名用户,2017/6/18,很棒 我们是专程来玩漂流的
匿名用户,2017/6/11,环境不错，好玩，年年夏天都去，美团订票很方便。
dongwei910513,2017/6/4,挺不错的一次漂流，去的时候天气不好，有点冷
iYd783881988,2017/5/2,环境优美，空气清新，一次不错的旅行
wSn536057686,2017/4/29,不知道怎么评论，28号下午去的，到地儿了连个车都没。问了人才知道一天就一班车。开始漂流，嗯，水小，而且并不是很干净，回来皮肤发干，而且痒，更好笑的是飘着飘着背后出来一垃圾桶。要是撞上怎么办，不堪设想。
匿名用户,2017/4/30,很美，比较好玩，青山绿水，就是台阶太高
常建峰2009,2017/4/30,取票很快，方便快捷，比窗口便宜
jzt269376803,2017/6/3,可以~就是换票需要去大门口换
uyi241703798,2017/5/26,还不错，就是除了漂流，其他的就比较单一了
cVo268953101,2017/5/17,还可以吧，就是路线走错了，漂流还行，别的就那样
lyp821126,2017/4/22,第三次来了，最优惠一次。赞赞赞
lyp821126,2017/4/22,第三次来了，最优惠一次。赞赞赞，美团超赞，门口不能验证，打客户给快快解决了
WHp232320348,2017/4/29,经济便宜实惠啊，非常好玩，不是托。
WHp232320348,2017/4/29,非常好玩，便宜啊。
EOS299247642,2017/4/7,去的时候下着小雨☔，但景区的风景不错，准备到天气热了过来玩漂流
qdp970247342,2017/3/8,值得出游的地方，和家人很开心
中国的旺旺,2017/2/12,挺刺激德，特别是那几个洞，太刺激了
qAN742915791,2017/2/10,还不错，九月份去的有一点点冷了
qAN742915791,2017/2/10,还不错，有一点点冷了，不过不影响
YCm971865322,2017/2/8,挺刺激，就是时间短了些。
FUH133219056,2017/2/1,和好闺蜜一起去的，玩着很美。
独自7流浪,2017/1/19,还是不错的！有机会还是要去的！
apK829089639,2017/1/8,不错，挺好玩的，水流比较大，不用买雨衣，反正都要湿
xy695978092,2017/1/2,很好的地方，值得一去，有机会下次还去
蒙子姑娘,2016/12/29,整个漂流还不错就是中间船上的那个坐的松动了 有点磕到
kHS97009696,2016/12/25,景色很美！瀑布漂亮！夏天去漂流，秋天看红叶！美美美美美美美美！
NrN568266470,2016/12/20,景区漂流很惊险，价格有点贵，多改进
Gxw818192843,2016/7/18,"风景很美，去的时候刚下过雨，山上雾蒙蒙的，仙气十足，空气很好，周末来放松下呼吸呼吸新鲜空气，感觉挺好～然后再说漂流，刺激，好玩儿，认识不认识的一起打水仗，漂流结 <span class=""feedbackmore"">束还认识了新朋友，龙洞里真的没有一点灯光，只听见哗哗的水声，虽然被呛了好几下，但是玩的不亦乐乎～有几个坡道挺陡的，下来的时候船里灌满了水，穿雨衣什么的根本不管用～再来说说周边的消费，漂流的票不包含淋浴和存包，观光车有两种，一种巴士，从漂流终点坐到停车场，票价30，还有一种常见的观光车，从999阶台阶上去那儿坐，也是到停车场，10块～吃饭有农家乐，菜价比在外面吃饭稍贵，但是住宿不贵，一般不超过100，而且可以还价～总体玩儿的不错，有机会再去！ <i class=""text-icon icon-toggle-arrow"">"
典典1616,2016/12/6,漂流玩的很爽，就是返回的时候车费太贵了，一个人30元，不如步行回去，也不远！
默默2342,2016/12/13,我们四个人，还不错，再刺激点会更好，
匿名用户,2016/9/17,"环境挺好，漂流的路线也比较长，还是很划算的，就是漂流的时候下雨了，正好赶上还没到秋天，真心是快冻死了 自己有车的话最好开车去，路上有比较漂亮的风景还可以 <span class=""feedbackmore"">停下来好好玩一下，也可拍照，坐旅游大巴估计就没那么方便了 <i class=""text-icon icon-toggle-arrow"">"
XJ19900520,2016/9/19,好玩刺激，快吓尿了，我这小胆。夏天去玩一次，那种凉爽，会让人忘记烦恼。重点推荐一下过程中有一个洞子，太特么吓人了，我滴天，敢不敢给点光，牙都快咬碎了我。
monkey的大马猴,2016/12/8,非常好玩 美团比较实惠 大家去体验一下
苏家小宝是国宝,2016/7/30,"感觉还是棒棒哒，第一次去人生地不熟，附近找不到旅馆住址，只好保守去三十几公里的县城住，因为是团购没有票，只是真的只差几块钱，天气不太好，男友冻得发抖，建议天气不 <span class=""feedbackmore"">晴朗去漂流的瘦同志可以在漂流尽头吃完现做面，家常口味，漂流时候记得买水枪中途你懂 <i class=""text-icon icon-toggle-arrow"">"
清清毛毛,2016/11/29,很方便，而且漂流时间长，很刺激，也比较安全
清清毛毛,2016/11/29,豫西漂流真的不错，刺激，漂流时间还比较久
WyZ357085609,2016/11/30,还不错，完的挺开心的，评价晚了，很刺激
匿名用户,2016/10/5,自然风景不错，距离高速口很近，网络门票换票特别方便，也优惠。
GWK724548610,2016/11/27,很好玩，很刺激，明年夏天还去
电话停了,2016/11/27,帮同事买的，虽然没去过，好评吧
tpZ329816267,2016/9/3,不需此行，很嗨，就是服务好像有些跟不上，返程车费太贵，不过玩开心就好，期待下来来玩
tpZ329816267,2016/9/3,不需此行，很嗨，就是服务好像有些跟不上，返程车费太贵，不过玩开心就好，期待下来来玩
qmS915411409,2016/11/13,环境一般，服务还可以不错很刺激，
食药安全常抓不懈,2016/9/3,好玩，不累。漂流有惊无险，三个山洞流域是特色，绝对的惊险刺激！
匿名用户,2016/9/2,总体环境不错，票价有点贵，水质比较差
tpZ329816267,2016/9/3,不需此行，很嗨，就是服务好像有些跟不上，返程车费太贵，不过玩开心就好，期待下来来玩
澜乐文化传媒,2016/11/2,很不错的地方，值得一去，朋友们约起来吧
